,variable,indice,par,stat,wilcox_p,fdrbh_p,holm_p,bonfer_p
4,minRepWord,t_p_fpr,2-1,309,0.158773106765393,0.317546213530786,0.635092427061572,0.952638640592357
5,minRepWord,t_p_fpr,4-1,326,0.245707677787135,0.368561516680703,0.737123033361405,1
0,minRepWord,t_p_precision,3-2,313.5,0.185421279537119,0.413843301171637,0.96016529111095,1
1,minRepWord,t_p_precision,3-4,353.5,0.426796839126628,0.426796839126628,0.962131231616258,1
2,minRepWord,t_p_precision,3-1,352.5,0.419384987437247,0.426796839126628,0.962131231616258,1
3,minRepWord,t_p_precision,2-4,307.5,0.160027548518492,0.413843301171637,0.96016529111095,0.96016529111095
4,minRepWord,t_p_precision,2-1,318,0.206921650585819,0.413843301171637,0.96016529111095,1
5,minRepWord,t_p_precision,4-1,337.5,0.320710410538752,0.426796839126628,0.962131231616258,1
0,minRepWord,t_p_recall,3-2,352.5,0.418495612943855,0.418624703236368,1,1
1,minRepWord,t_p_recall,3-4,334.5,0.299310697091434,0.418624703236368,1,1
2,minRepWord,t_p_recall,3-1,348.5,0.390214820436015,0.418624703236368,1,1
3,minRepWord,t_p_recall,2-4,331.5,0.281128682891799,0.418624703236368,1,1
4,minRepWord,t_p_recall,2-1,339,0.327192286568892,0.418624703236368,1,1
5,minRepWord,t_p_recall,4-1,352.5,0.418624703236368,0.418624703236368,1,1
0,minRepWord,t_p_f,3-2,331.5,0.282275097719928,0.471953007688242,1,1
1,minRepWord,t_p_f,3-4,352.5,0.419989886809355,0.471953007688242,1,1
2,minRepWord,t_p_f,3-1,317.5,0.205068916831398,0.471953007688242,1,1
3,minRepWord,t_p_f,2-4,360,0.471953007688242,0.471953007688242,1,1
4,minRepWord,t_p_f,2-1,358.5,0.461020932474178,0.471953007688242,1,1
5,minRepWord,t_p_f,4-1,336.5,0.31433783275454,0.471953007688242,1,1
0,minRepWord,t_p_mcc,3-2,310.5,0.167932635788888,0.346278421807453,1,1
1,minRepWord,t_p_mcc,3-4,353,0.423289099053959,0.449510211199157,1,1
2,minRepWord,t_p_mcc,3-1,318,0.20625797390554,0.346278421807453,1,1
3,minRepWord,t_p_mcc,2-4,322.5,0.230852281204969,0.346278421807453,1,1
4,minRepWord,t_p_mcc,2-1,357,0.449510211199157,0.449510211199157,1,1
5,minRepWord,t_p_mcc,4-1,321,0.224396013925033,0.346278421807453,1,1
0,minRepWord,t_p_roc,3-2,310,0.174525334236549,0.38645046763405,1,1
1,minRepWord,t_p_roc,3-4,314,0.193225233817025,0.38645046763405,1,1
2,minRepWord,t_p_roc,3-1,309,0.170149973821262,0.38645046763405,1,1
3,minRepWord,t_p_roc,2-4,358,0.458533163743706,0.48961751770559,1,1
4,minRepWord,t_p_roc,2-1,359,0.465353578236172,0.48961751770559,1,1
5,minRepWord,t_p_roc,4-1,362.5,0.48961751770559,0.48961751770559,1,1
0,minRepWord,t_p_prc,3-2,300,0.133935208881943,0.296926900842086,0.669676044409717,0.80361125329166
1,minRepWord,t_p_prc,3-4,307.5,0.164030565139321,0.296926900842086,0.669676044409717,0.984183390835926
2,minRepWord,t_p_prc,3-1,292,0.106176675520379,0.296926900842086,0.637060053122272,0.637060053122272
3,minRepWord,t_p_prc,2-4,336,0.313883977380019,0.376660772856022,0.669676044409717,1
4,minRepWord,t_p_prc,2-1,349.5,0.400430441048675,0.400430441048675,0.669676044409717,1
5,minRepWord,t_p_prc,4-1,315,0.197951267228057,0.296926900842086,0.669676044409717,1
0,minRepWord,t_n_tpr,3-2,295.5,0.107988048559028,0.317546213530786,0.539940242795143,0.647928291354171
1,minRepWord,t_n_tpr,3-4,341,0.339078948417275,0.388415580361896,0.737123033361405,1
2,minRepWord,t_n_tpr,3-1,348.5,0.388415580361896,0.388415580361896,0.737123033361405,1
3,minRepWord,t_n_tpr,2-4,273,0.0512530199037727,0.307518119422636,0.307518119422636,0.307518119422636
4,minRepWord,t_n_tpr,2-1,309,0.158773106765393,0.317546213530786,0.635092427061572,0.952638640592357
5,minRepWord,t_n_tpr,4-1,326,0.245707677787135,0.368561516680703,0.737123033361405,1
0,minRepWord,t_n_fpr,3-2,352.5,0.418495612943855,0.418624703236368,1,1
1,minRepWord,t_n_fpr,3-4,334.5,0.299310697091434,0.418624703236368,1,1
2,minRepWord,t_n_fpr,3-1,348.5,0.390214820436015,0.418624703236368,1,1
3,minRepWord,t_n_fpr,2-4,331.5,0.281128682891799,0.418624703236368,1,1
4,minRepWord,t_n_fpr,2-1,339,0.327192286568892,0.418624703236368,1,1
5,minRepWord,t_n_fpr,4-1,352.5,0.418624703236368,0.418624703236368,1,1
0,minRepWord,t_n_precision,3-2,343.5,0.358159129315915,0.482295441606254,1,1
1,minRepWord,t_n_precision,3-4,358.5,0.461178208342819,0.482295441606254,1,1
2,minRepWord,t_n_precision,3-1,330.5,0.276462415478326,0.482295441606254,1,1
3,minRepWord,t_n_precision,2-4,361.5,0.482295441606254,0.482295441606254,1,1
4,minRepWord,t_n_precision,2-1,361.5,0.482259807767303,0.482295441606254,1,1
5,minRepWord,t_n_precision,4-1,343,0.354693501162627,0.482295441606254,1,1
0,minRepWord,t_n_recall,3-2,295.5,0.107988048559028,0.317546213530786,0.539940242795143,0.647928291354171
1,minRepWord,t_n_recall,3-4,341,0.339078948417275,0.388415580361896,0.737123033361405,1
2,minRepWord,t_n_recall,3-1,348.5,0.388415580361896,0.388415580361896,0.737123033361405,1
3,minRepWord,t_n_recall,2-4,273,0.0512530199037727,0.307518119422636,0.307518119422636,0.307518119422636
4,minRepWord,t_n_recall,2-1,309,0.158773106765393,0.317546213530786,0.635092427061572,0.952638640592357
5,minRepWord,t_n_recall,4-1,326,0.245707677787135,0.368561516680703,0.737123033361405,1
0,minRepWord,t_n_f,3-2,250.5,0.0220301249954731,0.0685491499056324,0.132180749972839,0.132180749972839
1,minRepWord,t_n_f,3-4,333,0.292994616578907,0.292994616578907,0.52197826687356,1
2,minRepWord,t_n_f,3-1,311,0.17399275562452,0.21337501482257,0.52197826687356,1
3,minRepWord,t_n_f,2-4,250.5,0.0228497166352108,0.0685491499056324,0.132180749972839,0.137098299811265
4,minRepWord,t_n_f,2-1,312,0.177812512352141,0.21337501482257,0.52197826687356,1
5,minRepWord,t_n_f,4-1,298.5,0.124849716909321,0.21337501482257,0.499398867637285,0.749098301455927
0,minRepWord,t_n_mcc,3-2,310.5,0.167932635788888,0.346278421807453,1,1
1,minRepWord,t_n_mcc,3-4,353,0.423289099053959,0.449510211199157,1,1
2,minRepWord,t_n_mcc,3-1,318,0.20625797390554,0.346278421807453,1,1
3,minRepWord,t_n_mcc,2-4,322.5,0.230852281204969,0.346278421807453,1,1
4,minRepWord,t_n_mcc,2-1,357,0.449510211199157,0.449510211199157,1,1
5,minRepWord,t_n_mcc,4-1,321,0.224396013925033,0.346278421807453,1,1
0,minRepWord,t_n_roc,3-2,301.5,0.139265294321322,0.367739721872781,0.813039393191398,0.83559176592793
1,minRepWord,t_n_roc,3-4,312,0.18386986093639,0.367739721872781,0.813039393191398,1
2,minRepWord,t_n_roc,3-1,300.5,0.1355065655319,0.367739721872781,0.813039393191398,0.813039393191398
3,minRepWord,t_n_roc,2-4,358,0.458555334775153,0.496540681820733,1,1
4,minRepWord,t_n_roc,2-1,358,0.458485534325108,0.496540681820733,1,1
5,minRepWord,t_n_roc,4-1,364.5,0.496540681820733,0.496540681820733,1,1
0,minRepWord,t_n_prc,3-2,233.5,0.0119234890598167,0.0446691774777452,0.0715409343589001,0.0715409343589001
1,minRepWord,t_n_prc,3-4,278,0.0682861203017441,0.136572240603488,0.273144481206976,0.409716721810465
2,minRepWord,t_n_prc,3-1,238.5,0.0148897258259151,0.0446691774777452,0.0744486291295753,0.0893383549554903
3,minRepWord,t_n_prc,2-4,352,0.4177089010975,0.431088744500116,1,1
4,minRepWord,t_n_prc,2-1,354,0.431088744500116,0.431088744500116,1,1
5,minRepWord,t_n_prc,4-1,352,0.417704255891708,0.431088744500116,1,1
0,minRepWord,t_cci%,3-2,289.5,0.0618227117053984,0.344426696839485,0.37093627023239,0.37093627023239
1,minRepWord,t_cci%,3-4,362.5,0.488807460419417,0.488807460419417,0.891799167511819,1
2,minRepWord,t_cci%,3-1,310,0.145888654929486,0.344426696839485,0.729443274647428,0.875331929576914
3,minRepWord,t_cci%,2-4,327,0.22961779789299,0.344426696839485,0.891799167511819,1
4,minRepWord,t_cci%,2-1,340.5,0.306925377683157,0.368310453219788,0.891799167511819,1
5,minRepWord,t_cci%,4-1,324,0.222949791877955,0.344426696839485,0.891799167511819,1
0,minRepWord,t_d_cci%,3-2,225.5,0.00786172354297157,0.0157234470859431,0.0314468941718863,0.0471703412578294
1,minRepWord,t_d_cci%,3-4,317.5,0.207362093748877,0.248834512498653,0.414724187497755,1
2,minRepWord,t_d_cci%,3-1,247,0.0206386553838163,0.0309579830757244,0.0619159661514488,0.123831932302898
3,minRepWord,t_d_cci%,2-4,188,0.00103360507822478,0.00620163046934866,0.00620163046934866,0.00620163046934866
4,minRepWord,t_d_cci%,2-1,364,0.5,0.5,0.5,1
5,minRepWord,t_d_cci%,4-1,210,0.00351404897613046,0.0105421469283914,0.0175702448806523,0.0210842938567827
0,negTipe,t_wa_tpr,NB-NG,239,4.22672612886122E-08,1.26801783865837E-07,1.26801783865837E-07,1.26801783865837E-07
1,negTipe,t_wa_tpr,NB-NM,414.5,0.0028739337546971,0.0028739337546971,0.0028739337546971,0.0086218012640913
